user_id,cluster,cluster_name,perk
316527,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
317688,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
322867,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
324191,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
328590,1,Change-Prone Travelers,✅ Free Cancellation
330764,1,Change-Prone Travelers,✅ Free Cancellation
330893,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
331039,4,Serial Cancellers,💰 Travel or Credit Offer
334787,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
337227,2,Window Shoppers,💰 First-Booking Discount
338086,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
340166,3,Hotel Loyalists,🏨 Extended Stay Discounts
343928,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
347778,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
348817,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
348863,2,Window Shoppers,💰 First-Booking Discount
349132,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
350648,4,Serial Cancellers,💰 Travel or Credit Offer
353271,2,Window Shoppers,💰 First-Booking Discount
353694,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
354050,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
354260,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
354311,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
354950,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
356046,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
357737,1,Change-Prone Travelers,✅ Free Cancellation
359072,1,Change-Prone Travelers,✅ Free Cancellation
359080,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
359653,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
361459,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
361759,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
363535,1,Change-Prone Travelers,✅ Free Cancellation
365825,1,Change-Prone Travelers,✅ Free Cancellation
371201,2,Window Shoppers,💰 First-Booking Discount
372970,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
373489,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
374331,1,Change-Prone Travelers,✅ Free Cancellation
374340,2,Window Shoppers,💰 First-Booking Discount
374341,3,Hotel Loyalists,🏨 Extended Stay Discounts
375160,2,Window Shoppers,💰 First-Booking Discount
375729,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
375751,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
376159,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
377069,4,Serial Cancellers,💰 Travel or Credit Offer
377411,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
378565,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
379543,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
380434,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
380436,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
380757,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
380874,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
380949,1,Change-Prone Travelers,✅ Free Cancellation
381259,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
381465,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
382181,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
382384,2,Window Shoppers,💰 First-Booking Discount
382533,2,Window Shoppers,💰 First-Booking Discount
385689,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
386255,3,Hotel Loyalists,🏨 Extended Stay Discounts
386469,2,Window Shoppers,💰 First-Booking Discount
386914,1,Change-Prone Travelers,✅ Free Cancellation
387282,3,Hotel Loyalists,🏨 Extended Stay Discounts
387783,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
388328,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
388767,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
388947,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
389434,1,Change-Prone Travelers,✅ Free Cancellation
389662,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
389759,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
390811,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
392453,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
395202,3,Hotel Loyalists,🏨 Extended Stay Discounts
395981,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
396552,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
399137,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
399218,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
399799,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
400275,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
400582,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
400899,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
401245,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
402332,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
402978,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
403881,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
404879,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
405305,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
406210,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
407118,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
407250,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
407275,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
407434,3,Hotel Loyalists,🏨 Extended Stay Discounts
407642,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
408551,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
409073,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
411179,1,Change-Prone Travelers,✅ Free Cancellation
411701,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
413128,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
413340,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
413418,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
413658,1,Change-Prone Travelers,✅ Free Cancellation
414128,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
415282,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
415381,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
415581,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
416319,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
416580,1,Change-Prone Travelers,✅ Free Cancellation
417679,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
418329,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
418488,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
418692,1,Change-Prone Travelers,✅ Free Cancellation
420648,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
420669,1,Change-Prone Travelers,✅ Free Cancellation
421247,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
421515,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
421666,1,Change-Prone Travelers,✅ Free Cancellation
421700,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
421870,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
422066,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
422668,2,Window Shoppers,💰 First-Booking Discount
423042,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
423413,3,Hotel Loyalists,🏨 Extended Stay Discounts
424553,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
425632,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
425653,2,Window Shoppers,💰 First-Booking Discount
425953,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
425966,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
426478,1,Change-Prone Travelers,✅ Free Cancellation
427426,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
427506,1,Change-Prone Travelers,✅ Free Cancellation
428056,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
428552,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
428858,1,Change-Prone Travelers,✅ Free Cancellation
429345,3,Hotel Loyalists,🏨 Extended Stay Discounts
429375,1,Change-Prone Travelers,✅ Free Cancellation
430722,1,Change-Prone Travelers,✅ Free Cancellation
431144,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
431337,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
431602,1,Change-Prone Travelers,✅ Free Cancellation
431746,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
431899,4,Serial Cancellers,💰 Travel or Credit Offer
431912,2,Window Shoppers,💰 First-Booking Discount
432333,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
432637,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
432941,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
433080,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
433339,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
433905,3,Hotel Loyalists,🏨 Extended Stay Discounts
434238,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
434623,1,Change-Prone Travelers,✅ Free Cancellation
435231,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
435596,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
435669,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
435837,3,Hotel Loyalists,🏨 Extended Stay Discounts
435882,1,Change-Prone Travelers,✅ Free Cancellation
436320,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
436894,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
437069,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
437162,1,Change-Prone Travelers,✅ Free Cancellation
437251,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
437539,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
437549,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
438189,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
438406,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
438551,1,Change-Prone Travelers,✅ Free Cancellation
438596,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
438839,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
438937,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
438985,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
438995,2,Window Shoppers,💰 First-Booking Discount
439052,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
439120,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
439363,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
440212,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
440655,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
441200,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
441205,2,Window Shoppers,💰 First-Booking Discount
441448,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
441457,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
441982,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
442484,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
442718,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
442812,3,Hotel Loyalists,🏨 Extended Stay Discounts
442819,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
442833,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
443305,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
443453,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
443598,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
443652,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
444387,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
444885,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
445351,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
445515,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
446124,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
446138,1,Change-Prone Travelers,✅ Free Cancellation
446473,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
446933,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
447053,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
447591,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
447737,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
447951,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
448025,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
448154,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
448295,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
448467,3,Hotel Loyalists,🏨 Extended Stay Discounts
448564,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
449033,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
449326,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
449619,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
449804,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
449980,4,Serial Cancellers,💰 Travel or Credit Offer
450164,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
450193,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
450305,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
450615,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
451291,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
451674,2,Window Shoppers,💰 First-Booking Discount
452034,1,Change-Prone Travelers,✅ Free Cancellation
452532,1,Change-Prone Travelers,✅ Free Cancellation
452594,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
452612,1,Change-Prone Travelers,✅ Free Cancellation
453143,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
453168,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
454264,2,Window Shoppers,💰 First-Booking Discount
454430,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
454616,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
454661,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
454920,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
454934,1,Change-Prone Travelers,✅ Free Cancellation
454955,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
456226,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
456318,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
456663,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
456671,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
457468,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
457599,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
457967,2,Window Shoppers,💰 First-Booking Discount
458479,1,Change-Prone Travelers,✅ Free Cancellation
458688,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
458725,2,Window Shoppers,💰 First-Booking Discount
458762,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
458814,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
458855,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
458919,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
459229,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
459486,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
459645,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
460072,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
460181,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
460553,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
460625,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
461559,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
461744,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
461791,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
462127,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
462456,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
462894,2,Window Shoppers,💰 First-Booking Discount
463652,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
463698,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
463783,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
463867,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
463910,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
464080,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
464160,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
464239,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
464542,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
464597,3,Hotel Loyalists,🏨 Extended Stay Discounts
464614,1,Change-Prone Travelers,✅ Free Cancellation
464673,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
464782,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
464855,1,Change-Prone Travelers,✅ Free Cancellation
465138,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
465343,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
465531,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
465568,3,Hotel Loyalists,🏨 Extended Stay Discounts
465731,1,Change-Prone Travelers,✅ Free Cancellation
466205,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
466342,3,Hotel Loyalists,🏨 Extended Stay Discounts
466723,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
467007,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
467092,4,Serial Cancellers,💰 Travel or Credit Offer
467339,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
467809,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
467892,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
468106,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
468370,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
468409,1,Change-Prone Travelers,✅ Free Cancellation
468666,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
468801,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
468808,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
468832,1,Change-Prone Travelers,✅ Free Cancellation
469237,3,Hotel Loyalists,🏨 Extended Stay Discounts
469418,2,Window Shoppers,💰 First-Booking Discount
469440,1,Change-Prone Travelers,✅ Free Cancellation
