user_id,age,married,has_children,total_sessions,total_clicks,avg_session_duration_sec,total_completed_trips,booking_conversion_rate,total_checked_bags,total_distance_km,money_spent_flight,money_spent_hotel,hotel_loyalty_score,avg_days_booking_to_trip,avg_trip_duration_days,trip_duration_type,flight_only_rate,hotel_only_rate,both_booked_rate,discount_usage_rate,cancellation_per_booking_rate,cluster,cluster_name,perk
160754,45,1,1,8,86,81,1,0.13,1,526,187.2,642.0,1.0,12.0,4.0,medium,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
164522,47,1,0,8,89,83,1,0.13,1,1786,623.8,3262.0,1.0,9.0,15.0,long,0.0,0.0,1.0,1.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
167852,16,0,0,8,63,58,0,0.0,0,0,0.0,0.0,0.0,-1.0,-1.0,no_trip,0.0,0.0,0.0,0.0,0.0,2,Window Shoppers,💰 First-Booking Discount
171470,23,0,0,8,446,1843,0,0.25,0,0,0.0,0.0,0.0,-1.0,-1.0,no_trip,0.5,0.0,0.0,0.5,1.0,4,Serial Cancellers,💰 Travel or Credit Offer
174997,31,0,0,8,252,992,2,0.38,0,3230,1180.9,584.0,0.5,8.0,4.0,medium,0.0,0.0,0.67,0.0,0.33,1,Change-Prone Travelers,✅ Free Cancellation
175032,28,0,0,9,127,104,3,0.33,1,2718,6048.9,3243.6,0.333,8.0,5.0,medium,0.0,0.33,0.67,0.33,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
181157,52,1,0,8,153,141,3,0.38,3,3583,4651.8,5076.2,0.5,6.0,5.0,medium,0.0,0.0,1.0,0.67,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
182191,18,0,1,8,148,666,0,0.13,0,0,0.0,0.0,0.0,-1.0,-1.0,no_trip,0.0,0.0,0.0,0.0,1.0,4,Serial Cancellers,💰 Travel or Credit Offer
187212,54,1,1,8,128,119,3,0.38,2,7016,2485.1,1556.0,0.333,9.0,3.0,short,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
189676,35,0,1,8,93,86,2,0.25,2,2285,7465.9,5463.0,0.5,5.0,10.0,long,0.0,0.5,0.5,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
190866,36,0,0,9,186,154,5,0.56,2,11348,4162.0,2205.0,0.25,8.0,3.0,short,0.0,0.0,1.0,0.0,0.0,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
195192,27,0,0,8,225,208,1,0.13,0,1174,1577.2,320.0,1.0,16.0,3.0,short,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
204943,40,0,0,8,292,1044,5,0.75,7,7823,8399.7,4483.0,0.2,9.0,4.0,medium,0.0,0.0,1.0,0.17,0.17,1,Change-Prone Travelers,✅ Free Cancellation
204997,37,1,0,8,439,1399,2,0.5,1,2544,976.9,355.0,1.0,8.0,7.0,medium,0.25,0.0,0.5,0.25,0.5,1,Change-Prone Travelers,✅ Free Cancellation
205044,39,1,1,9,134,110,3,0.33,1,7593,13774.4,6362.0,0.333,7.0,6.0,medium,0.0,0.0,1.0,0.33,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
206011,38,0,1,8,156,146,4,0.5,1,5894,2049.5,1271.0,0.333,7.0,3.0,short,0.25,0.0,0.75,0.5,0.0,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
216796,21,0,0,8,125,491,0,0.13,0,0,0.0,0.0,0.0,-1.0,-1.0,no_trip,0.0,0.0,1.0,1.0,1.0,4,Serial Cancellers,💰 Travel or Credit Offer
217114,18,1,1,9,59,50,0,0.0,0,0,0.0,0.0,0.0,-1.0,-1.0,no_trip,0.0,0.0,0.0,0.0,0.0,2,Window Shoppers,💰 First-Booking Discount
217136,37,0,1,8,106,99,2,0.25,0,2867,1079.1,1039.0,0.5,7.0,3.0,short,0.0,0.5,0.5,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
220725,39,0,0,9,316,949,3,0.44,1,9247,3066.8,1242.0,0.5,6.0,6.0,medium,0.25,0.0,0.75,0.25,0.25,1,Change-Prone Travelers,✅ Free Cancellation
224996,42,0,1,8,102,95,2,0.25,0,4706,1795.2,231.0,1.0,9.0,3.0,short,0.5,0.0,0.5,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
226367,42,0,0,8,114,106,3,0.38,2,4967,1980.3,2928.0,0.333,8.0,3.0,short,0.0,0.0,1.0,0.33,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
228195,26,0,1,9,116,96,0,0.0,0,0,0.0,0.0,0.0,-1.0,-1.0,no_trip,0.0,0.0,0.0,0.0,0.0,2,Window Shoppers,💰 First-Booking Discount
228872,34,0,0,8,126,118,2,0.25,1,2770,1018.4,1360.0,0.5,7.0,7.0,medium,0.0,0.5,0.5,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
229009,16,0,0,8,144,265,2,0.38,1,5899,2123.3,773.0,0.5,10.0,3.0,short,0.33,0.0,0.67,0.0,0.33,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
229108,24,0,0,8,321,1012,0,0.13,0,0,0.0,0.0,0.0,-1.0,-1.0,no_trip,1.0,0.0,0.0,0.0,1.0,4,Serial Cancellers,💰 Travel or Credit Offer
229330,46,1,0,8,129,120,4,0.5,1,4804,5766.4,4114.0,0.333,8.0,4.0,medium,0.0,0.0,1.0,0.0,0.0,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
232647,16,0,0,8,100,94,2,0.25,1,1392,474.2,2343.0,1.0,5.0,7.0,medium,0.5,0.5,0.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
249521,58,1,1,8,151,141,2,0.25,1,3552,1284.0,544.4,0.5,8.0,3.0,short,0.0,0.5,0.5,0.5,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
252835,37,0,1,8,117,108,5,0.63,3,9339,3231.3,1702.0,0.25,8.0,4.0,medium,0.2,0.0,0.8,0.2,0.0,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
258451,22,0,0,8,167,220,0,0.13,0,0,0.0,0.0,0.0,-1.0,-1.0,no_trip,0.0,1.0,0.0,0.0,1.0,4,Serial Cancellers,💰 Travel or Credit Offer
264470,44,0,1,8,118,111,2,0.25,1,4610,1670.4,2218.0,0.5,9.0,6.0,medium,0.0,0.0,1.0,0.5,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
276512,40,1,1,8,98,91,1,0.13,1,2299,791.4,200.0,1.0,10.0,3.0,short,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
281952,36,0,0,8,158,146,2,0.25,3,3690,1369.4,321.3,0.5,8.0,2.0,short,0.0,0.0,1.0,0.5,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
283325,49,1,0,8,114,106,2,0.25,0,2650,815.9,3411.0,0.5,9.0,4.0,medium,0.0,0.5,0.5,0.5,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
290123,39,1,0,9,190,156,7,0.78,6,16805,19860.5,5672.0,0.167,7.0,3.0,short,0.14,0.0,0.86,0.0,0.0,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
297546,50,1,0,8,207,193,5,0.63,3,7139,4651.8,3956.0,0.25,7.0,6.0,medium,0.0,0.2,0.8,0.2,0.0,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
298253,45,1,1,8,98,92,1,0.13,2,3974,1424.8,0.0,0.0,7.0,2.0,short,1.0,0.0,0.0,0.0,0.0,2,Window Shoppers,💰 First-Booking Discount
299476,37,1,0,9,187,154,1,0.11,0,1110,384.8,142.0,1.0,8.0,3.0,short,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
306165,19,0,0,8,89,83,0,0.0,0,0,0.0,0.0,0.0,-1.0,-1.0,no_trip,0.0,0.0,0.0,0.0,0.0,2,Window Shoppers,💰 First-Booking Discount
306819,58,1,1,8,329,1062,1,0.25,1,295,100.3,740.0,1.0,4.0,3.0,short,0.0,0.0,1.0,0.0,0.5,1,Change-Prone Travelers,✅ Free Cancellation
312488,29,1,0,8,76,71,1,0.13,1,2265,814.2,0.0,1.0,7.0,1.0,short,0.0,0.0,1.0,0.0,0.0,2,Window Shoppers,💰 First-Booking Discount
313724,50,0,0,8,351,1110,4,0.63,2,5002,3469.7,3723.0,0.25,13.0,5.0,medium,0.0,0.2,0.8,0.0,0.2,1,Change-Prone Travelers,✅ Free Cancellation
316527,40,1,1,8,139,130,4,0.5,1,8059,4873.3,6387.4,0.25,8.0,4.0,medium,0.0,0.0,1.0,0.25,0.0,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
317688,39,0,1,8,133,124,4,0.5,2,6434,2477.5,1743.9,0.25,9.0,3.0,short,0.0,0.0,1.0,0.25,0.0,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
322867,45,0,0,8,82,77,1,0.13,1,922,346.1,1512.0,1.0,7.0,8.0,long,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
324191,38,0,0,8,86,80,2,0.25,1,352,340.4,2532.0,0.5,11.0,6.0,medium,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
328590,54,0,0,8,383,1086,2,0.38,1,6085,10812.0,3146.5,0.5,9.0,7.0,medium,0.33,0.0,0.67,0.67,0.33,1,Change-Prone Travelers,✅ Free Cancellation
330764,38,0,0,8,375,1061,2,0.38,0,0,0.0,1094.0,0.5,7.0,5.0,medium,0.33,0.67,0.0,0.33,0.33,1,Change-Prone Travelers,✅ Free Cancellation
330893,42,1,1,8,133,124,3,0.38,2,4748,1723.2,986.0,0.333,6.0,3.0,short,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
331039,43,1,1,8,198,610,0,0.13,0,0,0.0,0.0,0.0,-1.0,-1.0,no_trip,0.0,0.0,1.0,1.0,1.0,4,Serial Cancellers,💰 Travel or Credit Offer
334787,51,0,0,8,119,111,3,0.38,2,4184,1498.9,1190.0,0.333,6.0,3.0,short,0.0,0.0,1.0,0.33,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
337227,33,1,0,8,83,77,0,0.0,0,0,0.0,0.0,0.0,-1.0,-1.0,no_trip,0.0,0.0,0.0,0.0,0.0,2,Window Shoppers,💰 First-Booking Discount
338086,39,0,1,8,137,129,2,0.25,1,5491,1963.4,228.0,0.5,8.0,3.0,short,0.0,0.0,1.0,0.5,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
340166,49,1,1,8,88,82,1,0.13,0,0,0.0,474.0,1.0,3.0,2.0,short,0.0,1.0,0.0,0.0,0.0,3,Hotel Loyalists,🏨 Extended Stay Discounts
343928,64,1,0,8,122,113,2,0.25,1,16277,17232.5,464.0,1.0,171.0,8.0,long,0.5,0.0,0.5,0.5,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
347778,48,0,0,9,162,133,5,0.56,5,12440,24872.6,6179.0,0.25,6.0,3.0,short,0.2,0.0,0.8,0.0,0.0,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
348817,27,0,0,8,125,116,4,0.5,2,7954,2749.2,3433.0,0.25,6.0,3.0,short,0.0,0.25,0.75,0.0,0.0,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
348863,66,1,0,8,81,75,0,0.0,0,0,0.0,0.0,0.0,-1.0,-1.0,no_trip,0.0,0.0,0.0,0.0,0.0,2,Window Shoppers,💰 First-Booking Discount
349132,47,0,0,9,133,110,3,0.33,1,2115,3420.9,4042.1,0.333,8.0,5.0,medium,0.0,0.33,0.67,0.33,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
350648,16,0,0,8,295,807,0,0.13,0,0,0.0,0.0,0.0,-1.0,-1.0,no_trip,0.0,0.0,1.0,0.0,1.0,4,Serial Cancellers,💰 Travel or Credit Offer
353271,25,0,1,8,84,79,1,0.13,0,1197,1633.6,0.0,1.0,6.0,1.0,short,0.0,0.0,1.0,0.0,0.0,2,Window Shoppers,💰 First-Booking Discount
353694,38,0,1,8,100,93,2,0.25,1,2711,922.7,1775.0,0.5,8.0,6.0,medium,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
354050,48,0,0,8,172,159,5,0.63,1,10751,4907.6,3047.6,0.25,9.0,4.0,medium,0.0,0.0,1.0,0.4,0.0,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
354260,48,0,0,8,116,108,2,0.25,2,6659,2330.0,780.0,1.0,12.0,3.0,short,0.5,0.0,0.5,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
354311,44,1,0,8,98,92,2,0.25,1,6124,2145.8,388.0,1.0,8.0,3.0,short,0.5,0.0,0.5,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
354950,52,1,0,8,100,94,1,0.13,1,2463,921.1,889.0,1.0,5.0,7.0,medium,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
356046,33,0,0,8,101,94,2,0.25,0,3794,1884.2,798.0,0.5,9.0,3.0,short,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
357737,40,1,1,8,419,1101,4,0.63,0,11010,3919.4,1665.5,0.25,8.0,5.0,medium,0.0,0.2,0.8,0.4,0.2,1,Change-Prone Travelers,✅ Free Cancellation
359072,50,1,1,8,318,984,2,0.38,1,770,266.3,660.0,0.5,9.0,3.0,short,0.0,0.0,1.0,0.0,0.33,1,Change-Prone Travelers,✅ Free Cancellation
359080,40,1,0,8,126,119,4,0.5,4,18471,17849.8,2060.0,1.0,77.0,6.0,medium,0.5,0.0,0.5,0.25,0.0,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
359653,54,0,0,8,127,118,2,0.25,2,4477,1568.7,1051.8,0.5,7.0,3.0,short,0.0,0.0,1.0,0.5,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
361459,40,1,1,8,59,56,1,0.13,1,2290,787.8,330.0,1.0,7.0,3.0,short,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
361759,51,1,0,9,139,114,4,0.44,2,9046,3321.2,267.6,0.333,9.0,3.0,short,0.25,0.0,0.75,0.25,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
363535,29,0,0,8,248,852,2,0.38,1,4189,1997.3,426.0,0.5,10.0,1.0,short,0.0,0.0,1.0,0.33,0.33,1,Change-Prone Travelers,✅ Free Cancellation
365825,43,0,0,8,355,1043,1,0.25,1,380,129.3,1045.0,1.0,7.0,12.0,long,0.0,0.5,0.5,0.0,0.5,1,Change-Prone Travelers,✅ Free Cancellation
371201,27,0,1,8,105,97,1,0.13,3,1067,398.9,0.0,0.0,9.0,9.0,long,1.0,0.0,0.0,0.0,0.0,2,Window Shoppers,💰 First-Booking Discount
372970,32,0,0,8,100,95,2,0.25,1,7414,2586.6,552.0,1.0,7.0,2.0,short,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
373489,36,1,1,9,118,96,1,0.11,3,10288,44707.9,1326.0,1.0,224.0,13.0,long,0.0,0.0,1.0,1.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
374331,41,0,0,8,338,1031,1,0.25,0,0,0.0,6720.0,1.0,6.0,12.0,long,0.5,0.5,0.0,0.0,0.5,1,Change-Prone Travelers,✅ Free Cancellation
374340,33,1,0,9,78,64,1,0.11,1,11011,15864.8,0.0,0.0,337.0,9.0,long,1.0,0.0,0.0,1.0,0.0,2,Window Shoppers,💰 First-Booking Discount
374341,24,0,0,8,105,98,3,0.38,0,0,0.0,6840.0,0.333,12.0,7.0,medium,0.0,1.0,0.0,0.0,0.0,3,Hotel Loyalists,🏨 Extended Stay Discounts
375160,19,0,0,8,41,38,0,0.0,0,0,0.0,0.0,0.0,-1.0,-1.0,no_trip,0.0,0.0,0.0,0.0,0.0,2,Window Shoppers,💰 First-Booking Discount
375729,52,0,0,8,142,131,3,0.38,1,5565,1792.6,2481.0,0.333,7.0,4.0,medium,0.0,0.0,1.0,0.67,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
375751,49,1,0,8,192,177,3,0.38,1,4105,1415.1,1086.0,0.5,9.0,3.0,short,0.33,0.0,0.67,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
376159,41,0,0,8,102,96,2,0.25,1,2220,734.5,708.0,0.5,11.0,4.0,medium,0.0,0.5,0.5,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
377069,66,1,0,8,260,957,0,0.13,0,0,0.0,0.0,0.0,-1.0,-1.0,no_trip,1.0,0.0,0.0,1.0,1.0,4,Serial Cancellers,💰 Travel or Credit Offer
377411,36,1,0,8,118,111,2,0.25,0,3125,3811.1,1312.0,0.5,6.0,4.0,medium,0.0,0.0,1.0,0.5,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
378565,39,1,1,8,136,127,5,0.63,1,4123,1375.9,8733.0,0.2,6.0,9.0,long,0.0,0.6,0.4,0.4,0.0,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
379543,55,1,0,8,104,96,3,0.38,1,6806,2310.2,1948.0,0.333,7.0,4.0,medium,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
380434,48,1,1,8,114,104,3,0.38,1,5555,1998.7,1769.0,0.333,10.0,4.0,medium,0.0,0.0,1.0,0.33,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
380436,43,0,0,8,107,99,1,0.13,1,567,226.5,742.5,1.0,10.0,6.0,medium,0.0,0.0,1.0,1.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
380757,45,0,1,8,122,114,3,0.38,1,4734,626.4,1550.7,0.333,8.0,8.0,long,0.0,0.0,1.0,0.33,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
380874,53,1,0,8,117,109,3,0.38,2,4269,1680.5,834.1,0.333,8.0,3.0,short,0.0,0.0,1.0,1.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
380949,45,0,0,8,432,1116,4,0.63,1,7857,3034.2,1989.0,0.333,8.0,3.0,short,0.2,0.0,0.8,0.2,0.2,1,Change-Prone Travelers,✅ Free Cancellation
381259,20,0,1,8,97,91,1,0.13,1,3655,1439.0,136.0,1.0,6.0,2.0,short,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
381465,32,0,0,8,245,419,3,0.5,0,1668,649.7,2976.0,0.333,5.0,11.0,long,0.0,0.5,0.5,0.25,0.25,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
382181,35,1,0,8,106,98,3,0.38,2,5889,2146.1,1088.0,0.5,6.0,4.0,medium,0.33,0.0,0.67,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
382384,55,1,0,8,75,70,1,0.13,1,1230,457.3,0.0,1.0,10.0,2.0,short,0.0,0.0,1.0,0.0,0.0,2,Window Shoppers,💰 First-Booking Discount
382533,16,0,0,8,70,65,0,0.0,0,0,0.0,0.0,0.0,-1.0,-1.0,no_trip,0.0,0.0,0.0,0.0,0.0,2,Window Shoppers,💰 First-Booking Discount
385689,48,0,1,8,92,86,4,0.5,1,5701,3476.1,3632.0,0.25,13.0,5.0,medium,0.0,0.25,0.75,0.5,0.0,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
386255,30,0,1,8,64,60,1,0.13,0,0,0.0,2144.0,1.0,14.0,4.0,medium,0.0,1.0,0.0,0.0,0.0,3,Hotel Loyalists,🏨 Extended Stay Discounts
386469,16,0,0,9,95,79,0,0.0,0,0,0.0,0.0,0.0,-1.0,-1.0,no_trip,0.0,0.0,0.0,0.0,0.0,2,Window Shoppers,💰 First-Booking Discount
386914,45,1,1,8,294,987,1,0.25,1,659,269.4,577.8,1.0,8.0,3.0,short,0.5,0.0,0.5,1.0,0.5,1,Change-Prone Travelers,✅ Free Cancellation
387282,29,0,1,8,87,80,1,0.13,0,0,0.0,3564.0,1.0,3.0,4.0,medium,0.0,1.0,0.0,1.0,0.0,3,Hotel Loyalists,🏨 Extended Stay Discounts
387783,52,1,1,8,87,80,3,0.38,0,2358,862.5,2649.0,0.5,8.0,5.0,medium,0.0,0.67,0.33,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
388328,49,1,1,9,135,110,5,0.56,3,7408,2481.4,4958.9,0.25,8.0,5.0,medium,0.0,0.4,0.6,0.4,0.0,0,Premium Frequent Travelers,🏨 1 Free Hotel Night with Flight
388767,43,1,1,8,104,97,1,0.13,1,2100,744.7,1890.0,1.0,6.0,11.0,long,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
388947,39,0,0,9,112,93,3,0.33,2,7027,2392.5,963.0,0.5,8.0,2.0,short,0.33,0.0,0.67,0.33,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
389434,40,0,0,8,444,1128,4,0.63,1,9965,3450.6,1773.0,0.25,7.0,3.0,short,0.0,0.0,1.0,0.2,0.2,1,Change-Prone Travelers,✅ Free Cancellation
389662,37,0,0,8,146,136,3,0.38,2,3784,1262.1,906.0,0.333,10.0,3.0,short,0.0,0.33,0.67,0.33,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
389759,31,0,1,8,156,144,3,0.38,1,13792,11464.7,3320.0,0.333,7.0,3.0,short,0.0,0.0,1.0,0.33,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
390811,39,0,0,8,132,122,3,0.38,2,6250,2198.0,1518.0,0.333,8.0,4.0,medium,0.0,0.0,1.0,0.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
392453,56,0,0,8,78,72,1,0.13,1,2388,748.6,1166.0,1.0,7.0,12.0,long,0.0,0.0,1.0,1.0,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
395202,25,0,0,8,71,66,1,0.13,0,0,0.0,2964.0,1.0,4.0,13.0,long,0.0,1.0,0.0,0.0,0.0,3,Hotel Loyalists,🏨 Extended Stay Discounts
395981,50,1,0,8,101,95,3,0.38,3,8303,5452.0,2798.0,0.5,10.0,2.0,short,0.0,0.0,1.0,0.33,0.0,5,Balanced Frequent Travelers,💼 Free Checked Bag + 🏨 Complimentary Hotel Upgrade
